Taxid	Organism	Species Name	Version
9606	human	Homo sapiens	v5.7
9544	rhesus	Macaca mulatta	v5.7
10090	mouse	Mus musculus	v5.7
10116	rat	Rattus norvegicus	v5.7
9823	pig	Sus scrofa	v5.7
9615	dog	Canis lupus familiaris	v5.7
9031	chicken	Gallus gallus	v5.7
59729	zebrafinch	Taeniopygia guttata	v5.7
8364	frog	Xenopus tropicalis	v5.7
8355	laevis	Xenopus laevis	v5.7
7955	zebrafish	Danio rerio	v5.7
31033	fugu	Takifugu rubripes	v5.7
7757	lamprey	Petromyzon marinus	v5.7
7719	ciona	Ciona intestinalis	v5.7
7668	urchin	Strongylocentrotus purpuratus	v5.7
7227	fly	Drosophila melanogaster	v5.7
7165	mosquito	Anopheles gambiae	v5.7
7460	bee	Apis mellifera	v5.7
6239	worm	Caenorhabditis elegans	v5.7
45351	anemone	Nematostella vectensis	v5.7
6087	hydra	Hydra vulgaris	v5.7
6500	seahare	Aplysia californica	v5.7
559292	yeast	Saccharomyces cerevisiae	v5.7
284812	pombe	Schizosaccharomyces pombe	v5.7
5141	ascomycetes	Neurospora crassa	v5.7
597362	mushroom	Agaricus bisporus	v5.7
3702	arabidopsis	Arabidopsis thaliana	v5.7
3218	patens	Physcomitrella patens	v5.7
39947	rice	Oryza sativa	v5.7
4577	corn	Zea mays	v5.7
4081	tomato	Solanum lycopersicum	v5.7
3055	chlamy	Chlamydomonas reinhardtii	v5.7
3068	volvox	Volvox carteri	v5.7
352472	dicty	Dictyostelium discoideum	v5.7
556484	diatom	Phaeodactylum tricornutum	v5.7
5911	ciliate	Tetrahymena thermophila	v5.7
88036	selaginella	Selaginella moellendorffii	v5.7
296543	pseudonana	Thalassiosira pseudonana	v5.7
