Motif_ID	Gene_systematic_ID	Protein_name	Species	Group	Domains
RNCMPT00001	ENSG00000148584	A1CF	Homo_sapiens	Animal	RRM
RNCMPT00291	ENSGALG00000003765	A1CF	Gallus_gallus	Animal	RRM
RNCMPT00123	FBgn0052062	A2BP1	Drosophila_melanogaster	Animal	RRM
RNCMPT00265	CADANIAG00005892	An_0265	Aspergillus_nidulans	Fungi	KH
RNCMPT00287	CADANIAG00004740	An_0287	Aspergillus_nidulans	Fungi	RRM
RNCMPT00002	ENSG00000131503	ANKHD1	Homo_sapiens	Animal	KH
RNCMPT00270	FBgn0000114	ARET	Drosophila_melanogaster	Animal	RRM
RNCMPT00114	FBgn0000114	ARET	Drosophila_melanogaster	Animal	RRM
RNCMPT00003	FBgn0000114	ARET	Drosophila_melanogaster	Animal	RRM
RNCMPT00180	WBGene00011279	ASD-1	Caenorhabditis_elegans	Animal	RRM
RNCMPT00284	AT1G76460-TAIR-G	At_0284	Arabidopsis_thaliana	Plant	RRM
RNCMPT00134	FBgn0004587	B52	Drosophila_melanogaster	Animal	RRM
RNCMPT00122	FBgn0262350	BRU-3	Drosophila_melanogaster	Animal	RRM
RNCMPT00004	ENSG00000101489	BRUNOL4	Homo_sapiens	Animal	RRM
RNCMPT00166	ENSG00000161082	BRUNOL5	Homo_sapiens	Animal	RRM
RNCMPT00187	ENSG00000140488	BRUNOL6	Homo_sapiens	Animal	RRM
RNCMPT00129	FBgn0039920	CG11360	Drosophila_melanogaster	Animal	KH
RNCMPT00006	FBgn0037939	CG14718	Drosophila_melanogaster	Animal	RRM
RNCMPT00131	FBgn0038826	CG17838	Drosophila_melanogaster	Animal	RRM
RNCMPT00147	FBgn0037342	CG2931	Drosophila_melanogaster	Animal	RRM
RNCMPT00007	FBgn0031637	CG2950	Drosophila_melanogaster	Animal	KH
RNCMPT00009	FBgn0064117	CG33714	Drosophila_melanogaster	Animal	RRM
RNCMPT00010	FBgn0038345	CG5213	Drosophila_melanogaster	Animal	RRM
RNCMPT00146	FBgn0036496	CG7804	Drosophila_melanogaster	Animal	RRM
RNCMPT00144	FBgn0039730	CG7903	Drosophila_melanogaster	Animal	RRM
RNCMPT00008	FBgn0051716	CNOT4	Drosophila_melanogaster	Animal	RRM
RNCMPT00156	ENSG00000080802	CNOT4	Homo_sapiens	Animal	RRM
RNCMPT00012	ENSG00000137449	CPEB2	Homo_sapiens	Animal	RRM
RNCMPT00158	ENSG00000113742	CPEB4	Homo_sapiens	Animal	RRM
RNCMPT00133	FBgn0000363	CPO	Drosophila_melanogaster	Animal	RRM
RNCMPT00013	ENSG00000071626	DAZAP1	Homo_sapiens	Animal	RRM
RNCMPT00273	FBgn0261609	EIF-2ALPHA	Drosophila_melanogaster	Animal	S1
RNCMPT00121	FBgn0260400	ELAV	Drosophila_melanogaster	Animal	RRM
